Vendor Name,Delivery_Punctuality_Mean,Delivery_Punctuality_Std,Quality_of_Goods_Mean,Quality_of_Goods_Std,Compliance_with_Contract_Terms_Mean,Compliance_with_Contract_Terms_Std,Overall_Performance_Rating_Mean,Overall_Performance_Rating_Std
Vendor A,5.454545455,2.978712351,5.090909091,3.015113446,5.454545455,2.69679945,5.333333333,2.896875082
Vendor B,6.333333333,2.708012802,5.75,2.864357773,6.333333333,3.312053286,6.138888889,2.96147462
Vendor C,4.071428571,2.464026902,5.142857143,3.697340892,5.928571429,3.049950459,5.047619048,3.070439417
Vendor D,4.8,1.788854382,5.8,1.923538406,5.6,3.507135583,5.4,2.406509457
Vendor E,4.625,2.615202806,4.875,2.799872446,4.5,3.422613872,4.666666667,2.945896374
Vendor F,4.2,3.1144823,3.2,0.836660027,5.2,3.563705936,4.2,2.504949421
Vendor G,4.2,2.440400696,5,2.828427125,4.9,3.314949304,4.7,2.861259042
Vendor H,4.416666667,2.539088359,7.416666667,2.466441431,6.333333333,2.87096225,6.055555556,2.625497347
Vendor I,6.583333333,2.678477632,7,2.593698658,4.916666667,3.476108936,6.166666667,2.916095075
Vendor J,2.4,1.516575089,4.6,3.209361307,4.8,2.774887385,3.933333333,2.500274594
